Date,Category,RefNo,Date,Withdrawal,Deposit,Balance
2023-01-01,Rent,3E+11,2023-01-01,3950,0,1837.23
2023-01-03,Misc,3E+11,2023-01-03,105,0,1732.23
2023-01-03,Misc,3.37E+11,2023-01-03,0,55,1787.23
2023-01-03,Food,3E+11,2023-01-03,56,0,1731.23
2023-01-03,Misc,3.37E+11,2023-01-03,1,0,1730.23
2023-01-03,Food,3E+11,2023-01-03,30,0,1700.23
2023-01-04,Misc,3E+11,2023-01-04,500,0,1200.23
2023-01-04,Misc,3E+11,2023-01-04,1,0,1199.23
2023-01-04,Misc,3E+11,2023-01-04,500,0,699.23
2023-01-10,Food,3.01E+11,2023-01-10,28,0,671.23
2023-01-10,Misc,3.01E+11,2023-01-10,149,0,522.23
2023-01-10,Food,3.01E+11,2023-01-10,10,0,512.23
2023-01-10,Misc,3.38E+11,2023-01-10,0,1289,1801.23
2023-01-10,Food,3.01E+11,2023-01-10,51,0,1750.23
2023-01-10,Misc,3.38E+11,2023-01-10,110,0,1640.23
2023-01-10,Food,3.38E+11,2023-01-10,40,0,1600.23
2023-01-10,Food,3.01E+11,2023-01-10,20,0,1580.23
2023-01-10,Food,3.38E+11,2023-01-10,131.5,0,1448.73
2023-01-10,Food,3.38E+11,2023-01-11,27,0,1421.73
2023-01-11,Food,3.01E+11,2023-01-11,50,0,1371.73
2023-01-11,Food,3.38E+11,2023-01-11,33,0,1338.73
2023-01-11,Misc,3.38E+11,2023-01-11,0,33,1371.73
2023-01-11,Food,3.01E+11,2023-01-11,33,0,1338.73
2023-01-11,Misc,3.01E+11,2023-01-11,0,33,1371.73
2023-01-11,Food,3.01E+11,2023-01-11,33,0,1338.73
2023-01-11,Food,3.38E+11,2023-01-11,60,0,1278.73
2023-01-11,Food,3.38E+11,2023-01-11,30,0,1248.73
2023-01-11,Misc,3.38E+11,2023-01-11,305,0,943.73
2023-01-11,Food,3.38E+11,2023-01-11,50,0,893.73
2023-01-11,Food,3.01E+11,2023-01-11,20,0,873.73
2023-01-12,Food,3.38E+11,2023-01-12,57,0,816.73
2023-01-12,Food,3.01E+11,2023-01-12,33,0,783.73
2023-01-12,Food,3.38E+11,2023-01-12,10,0,773.73
2023-01-12,Food,3.01E+11,2023-01-12,35,0,738.73
2023-01-12,Food,3.01E+11,2023-01-12,60,0,678.73
2023-01-12,Food,3.38E+11,2023-01-12,30,0,648.73
2023-01-12,Food,3.01E+11,2023-01-12,20,0,628.73
2023-01-13,Food,3.38E+11,2023-01-13,57,0,571.73
2023-01-13,Food,3.01E+11,2023-01-13,60,0,511.73
2023-01-13,Misc,3.38E+11,2023-01-13,480,0,31.73
2023-01-13,Food,3.38E+11,2023-01-13,12,0,19.73
2023-01-13,Misc,3.38E+11,2023-01-13,0,2000,2019.73
2023-01-13,Misc,3.38E+11,2023-01-13,0,120,2139.73
2023-01-13,Food,3.01E+11,2023-01-13,50,0,2089.73
2023-01-13,Misc,3.01E+11,2023-01-13,0,200,2289.73
2023-01-13,Food,3.38E+11,2023-01-13,15,0,2274.73
2023-01-14,Food,3.01E+11,2023-01-14,40,0,2234.73
2023-01-14,Food,3.38E+11,2023-01-14,30,0,2204.73
2023-01-14,Food,3.01E+11,2023-01-14,173.75,0,2030.98
2023-01-14,Misc,3.38E+11,2023-01-14,0,25,2055.98
2023-01-14,Food,3.38E+11,2023-01-14,50,0,2005.98
2023-01-14,Food,3.38E+11,2023-01-14,20,0,1985.98
2023-01-14,Misc,3.38E+11,2023-01-14,0,10,1995.98
2023-01-14,Food,3.38E+11,2023-01-14,30,0,1965.98
2023-01-15,Misc,3.38E+11,2023-01-15,110,0,1855.98
2023-01-15,Food,3.02E+11,2023-01-15,35,0,1820.98
2023-01-15,Misc,3.38E+11,2023-01-15,200,0,1620.98
2023-01-15,Food,3.38E+11,2023-01-15,30,0,1590.98
2023-01-15,Food,3.38E+11,2023-01-15,40,0,1550.98
2023-01-15,Food,3.38E+11,2023-01-15,155.24,0,1395.74
2023-01-15,Food,3.38E+11,2023-01-15,25,0,1370.74
2023-01-16,Food,3.02E+11,2023-01-16,12,0,1358.74
2023-01-16,Food,3.02E+11,2023-01-16,33,0,1325.74
2023-01-16,Food,3.38E+11,2023-01-16,29,0,1296.74
2023-01-16,Food,3.38E+11,2023-01-16,50,0,1246.74
2023-01-16,Food,3.38E+11,2023-01-16,60,0,1186.74
2023-01-16,Food,3.38E+11,2023-01-16,32,0,1154.74
2023-01-16,Food,3.38E+11,2023-01-16,20,0,1134.74
2023-01-17,Food,3.02E+11,2023-01-17,37,0,1097.74
2023-01-17,Misc,3.02E+11,2023-01-17,272,0,825.74
2023-01-17,Food,3.38E+11,2023-01-17,70,0,755.74
2023-01-17,Food,3.38E+11,2023-01-17,30,0,725.74
2023-01-17,Food,3.02E+11,2023-01-17,85,0,640.74
2023-01-17,Food,3.38E+11,2023-01-17,20,0,620.74
2023-01-17,Food,3.38E+11,2023-01-17,20,0,600.74
2023-01-18,Food,3.38E+11,2023-01-18,10,0,590.74
2023-01-18,Food,3.02E+11,2023-01-18,33,0,557.74
2023-01-18,Food,3.38E+11,2023-01-18,20,0,537.74
2023-01-18,Food,3.38E+11,2023-01-18,60,0,477.74
2023-01-18,Food,3.38E+11,2023-01-18,40,0,437.74
2023-01-18,Food,3.38E+11,2023-01-18,40,0,397.74
2023-01-19,Misc,3.02E+11,2023-01-19,0,120,517.74
2023-01-19,Misc,3.39E+11,2023-01-19,130,0,387.74
2023-01-19,Food,3.39E+11,2023-01-19,30,0,357.74
2023-01-19,Food,3.39E+11,2023-01-19,12,0,345.74
2023-01-19,Food,3.02E+11,2023-01-19,25,0,320.74
2023-01-19,Food,3.02E+11,2023-01-19,55,0,265.74
2023-01-20,Food,3.39E+11,2023-01-20,10,0,255.74
2023-01-20,Food,3.39E+11,2023-01-20,42,0,213.74
2023-01-20,Food,3.39E+11,2023-01-20,30,0,183.74
2023-01-20,Food,3.02E+11,2023-01-20,20,0,163.74
2023-01-20,Food,3.39E+11,2023-01-20,40,0,123.74
2023-01-20,Misc,3.39E+11,2023-01-21,0,500,623.74
2023-01-21,Food,3.02E+11,2023-01-21,42,0,581.74
2023-01-21,Food,3.02E+11,2023-01-21,80,0,501.74
2023-01-21,Food,3.02E+11,2023-01-21,30,0,471.74
2023-01-21,Food,3.39E+11,2023-01-21,25,0,446.74
2023-01-21,Misc,3.39E+11,2023-01-21,200,0,246.74
2023-01-21,Food,3.02E+11,2023-01-21,30,0,216.74
2023-01-21,Misc,3.39E+11,2023-01-21,200,0,16.74
2023-01-22,Misc,3.02E+11,2023-01-22,0,2000,2016.74
2023-01-22,Food,3.39E+11,2023-01-22,61,0,1955.74
2023-01-22,Misc,3.39E+11,2023-01-22,115,0,1840.74
2023-01-22,Food,3.39E+11,2023-01-22,30,0,1810.74
2023-01-23,Food,3.02E+11,2023-01-23,15,0,1795.74
2023-01-23,Food,3.02E+11,2023-01-23,33,0,1762.74
2023-01-23,Food,3.39E+11,2023-01-23,65,0,1697.74
2023-01-23,Food,3.39E+11,2023-01-23,30,0,1667.74
2023-01-23,Food,3.02E+11,2023-01-23,70,0,1597.74
2023-01-23,Misc,3.39E+11,2023-01-23,0,35,1632.74
2023-01-23,Food,3.39E+11,2023-01-23,30,0,1602.74
2023-01-24,Food,3.39E+11,2023-01-24,20,0,1582.74
2023-01-24,Food,3.39E+11,2023-01-24,90,0,1492.74
2023-01-24,Food,3.02E+11,2023-01-24,75,0,1417.74
2023-01-24,Food,3.02E+11,2023-01-24,20,0,1397.74
2023-01-24,Food,3.39E+11,2023-01-24,50,0,1347.74
2023-01-25,Food,3.03E+11,2023-01-25,28,0,1319.74
2023-01-25,Salary,CHASR23023738798,2023-01-25,0,34800,36119.74
2023-01-25,Food,3.39E+11,2023-01-25,65,0,36054.74
2023-01-25,Food,3.03E+11,2023-01-25,27,0,36027.74
2023-01-25,Food,3.03E+11,2023-01-25,30,0,35997.74
2023-01-25,Misc,3.39E+11,2023-01-25,10000,0,25997.74
2023-01-25,Misc,3.39E+11,2023-01-25,350,0,25647.74
2023-01-25,Food,3.39E+11,2023-01-25,40,0,25607.74
2023-01-25,Misc,3.39E+11,2023-01-25,2,0,25605.74
2023-01-25,Misc,3.39E+11,2023-01-25,135,0,25470.74
2023-01-26,Food,3.03E+11,2023-01-26,20,0,25450.74
2023-01-26,Misc,3.03E+11,2023-01-26,120,0,25330.74
2023-01-26,Shopping,3.03E+11,2023-01-26,1081,0,24249.74
2023-01-26,Misc,3.03E+11,2023-01-26,5000,0,19249.74
2023-01-26,Misc,3.39E+11,2023-01-26,299,0,18950.74
2023-01-26,Misc,3.39E+11,2023-01-26,2000,0,16950.74
2023-01-26,Misc,3.03E+11,2023-01-26,1000,0,15950.74
2023-01-26,Misc,3.39E+11,2023-01-26,0,5000,20950.74
2023-01-26,Misc,3.39E+11,2023-01-26,5000,0,15950.74
2023-01-26,Food,3.39E+11,2023-01-26,163.28,0,15787.46
2023-01-27,Food,3.03E+11,2023-01-27,24,0,15763.46
